Mã KH,Tên KH,Địa chỉ,Địa Bàn,Mã Số Thuế,Mã Nhóm,Đối Tác,Số ĐT
CGNHATANH,Quầy thuốc 86 - Nhật Anh,"Thôn Cờ Đỏ, xã Cẩm Phúc, huyện Cẩm Giàng, tỉnh Hải Dương","Phúc, huyện Cẩm Giàng",,04KVCAMGIANG,Lê Nhật Anh,0365 120 688
CGPKDKTHANGLONG,NT Phòng khám đa khoa Thăng Long,"TT Cẩm Giàng, huyện Cẩm giàng,  Hải Dương","Cẩm Giàng, huyện Cẩm giàng",,04KVCAMGIANG,Nguyễn Đức Sinh,0220 3789 57
CGNHUY,Quầy thuốc Như ý,"thôn Lương Xá, xã Lương Điền, huyện Cẩm Giàng, tỉnh Hải Dương","Điền, huyện Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Mỹ Linh,0968812922
CG.QT18,Quầy thuốc số 18,"Ga Cao Xá, xã Cao An, Cẩm Giàng, Hải Dương","An, Cẩm Giàng",,04KVCAMGIANG,Đỗ Thị Kim Nhung,0943375899
CGQT42,Quầy thuốc số 42,"Đội 4 thôn Mậu Tài, xã Cẩm Điền, huyện Cẩm Giàng, tỉnh Hải Dương","Điền, huyện Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Diệu Thư,
CGPKTRANTHINH,Phòng khám sản phụ khoa Trần Thị Thinh,"225 TT Cẩm Giàng, huyện Cẩm Giàng, tỉnh Hải Dương","Giàng, huyện Cẩm Giàng",,04KVCAMGIANG,Trần Thị Thinh,0336905688
CGTUTAM,Quầy thuốc Từ Tâm,"Cao Xá, Cẩm Giàng, tỉnh Hải Dương","Xá, Cẩm Giàng",,04KVCAMGIANG,Vương Thái,0889213455
CGANHTUYET,Quầy thuốc ánh Tuyết,"120 Tuệ Tĩnh, Thôn Nghĩa, TT Lai Cách, Cẩm Giàng, Hải Dương","Cách, Cẩm Giàng",,04KVCAMGIANG,Ds ánh Tuyết,0964490360
CGQT59,Quầy thuốc 59,"Phố Mao, xã Cẩm Điền, huyện Cẩm Giàng, tỉnh Hải Dương","Điền, huyện Cẩm Giàng",,04KVCAMGIANG,Phạm Minh Tới,0354737189
CGQT62,Quầy thuốc Bảo An (Qt 62),"Thôn Kim Xá, xã Cẩm Đoài, huyện Cẩm Giàng, tỉnh Hải Dương","Đoài, huyện Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Hằng,0349759088
CGTAMAN,Quầy thuốc Tâm An,"Quý Dương, Tân Trường, Cẩm Giàng, Hải Dương","Trường, Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Nhâm,0399531521
CGTHUHA,Quầy thuốc Thu Hà,"Thôn 1 xã Cẩm Sơn, Cẩm Giàng, Hải Dương","Sơn, Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Thu Hà,0966113511
CGSONHA,Quầy thuốc số 18 (Qt Sơn Hà),"Thôn 1, xã Định Sơn, Cẩm Giàng, Hải Dương","Sơn, Cẩm Giàng",,04KVCAMGIANG,Ds Thu Hà,0965898186
CGTHANHLAN,Quầy thuốc Thắng Lan,"32 đường Độc Lập, khu 1, TT Cẩm Giàng, Cẩm Giàng, Hải Dương","Giàng, Cẩm Giàng",,04KVCAMGIANG,Phan Thị Lan,0336815830
CGANTHINH,Nhà thuốc An Thịnh,"Phố Phí xã Cẩm Hoàng, huyện Cẩm Giàng, tỉnh Hải Dương","Hoàng, huyện Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Hiền,0989964704
CGTHANHTAO,Quầy thuốc Thành Tạo,"Phúc B, xã Cẩm Phúc, huyện Cẩm Giàng, tỉnh Hải Dương","Phúc, huyện Cẩm Giàng",,04KVCAMGIANG,Ds Tú Uyên,0986890397
CGPHUONGTRUNG,Quầy thuốc Phương Trung,"xã Cẩm Điền, huyện Cẩm Giàng, tỉnh Hải Dương","Điền, huyện Cẩm Giàng",,04KVCAMGIANG,Bùi Thị Phương,0166 345 8548
CGPHONGHOA,Quầy thuốc Phong Hòa,"Khu 20 TT Lai Cách, huyện Cẩm Giàng, tỉnh Hải Dương","Cách, huyện Cẩm Giàng",,04KVCAMGIANG,Đặng Thị Hòa,0962 044 963
CGTOANNAM,Quầy thuốc Toàn Năm,"Chân Cầu Vượt, thôn Ngọ, TT Lai Cách, huyện Cẩm Giàng, tỉnh Hải Dương","Cách, huyện Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Năm,01632 405 425
CGANPHU,Quầy thuốc An Phú,"Thôn Lương Xã, xã Lương Điền, Cẩm Giàng, Hải Dương","Điền, Cẩm Giàng",,04KVCAMGIANG,DS Nguyễn Thị Phương Hạnh,0977 993 634
CGNGOCNAM,Quầy thuốc Ngọc Nam,"Khu 20 TT Lai Cách, huyện Cẩm Giàng, tỉnh Hải Dương","Cách, huyện Cẩm Giàng",,04KVCAMGIANG,Phạm Thanh Thủy,0868718368
CGHIENLUONG,Quầy thuốc Hiền Lương,"Thôn Kinh Nguyên, xã Thạch Lỗi, huyện Cẩm Giàng, tỉnh Hải Dương",Cẩm Giàng,,04KVCAMGIANG,Ngô Thị Lương,0396960545
CGQTHOANGHA,Quầy thuốc Hoàng Hà (Qt 56),"Phố Phí xã Cẩm Hoàng, huyện Cẩm Giàng, tỉnh Hải Dương","Hoàng, huyện Cẩm Giàng",,04KVCAMGIANG,Trần Thị Thu Hà,0383943704
BNTRANGTIEN,Quầy thuốc Tâm Tiệp,"Phố Sen, xã Lâm Thao, huyện Lương Tài, tỉnh Bắc Ninh","Thao, huyện Lương Tài",,04KVCAMGIANG,Phạm Thị Quỳnh Tâm,0987167028
CGQT11,CTD HD - Quầy thuốc số 11,"Ga Cao Xá, xã Cao An, huyện Cẩm Giàng, tỉnh Hải Dương","An, huyện Cẩm Giàng",03203 786 803,04KVCAMGIANG,Dương Thị Oanh,0387 225 115
CGNGOCBICH,Quầy thuốc Ngọc Bích,"Thôn Cậy, xã Long Xuyên, huyện Bình Giang, tỉnh Hải Dương","Xuyên, huyện Bình Giang",,04KVCAMGIANG,Vũ Thị Bích,
CGMINHTIEN,Quầy thuốc Minh Tiến - Trịnh Thị Bản,"Thôn Hoàng Gia, xã Cẩm Vũ, huyện Cẩm Giàng, tỉnh Hải Dương","Vũ, huyện Cẩm Giàng",,04KVCAMGIANG,Trịnh Thị Bản,0982078158
CGBINHLOC,Quầy thuốc Bình Lộc,"Xóm Cầu Ba, thôn Văn Thai, xã Cẩm Vân, huyện Cẩm Giàng, tỉnh Hải Dương","Vân, huyện Cẩm Giàng",,04KVCAMGIANG,Đoàn Thị Tuyển,0967301289
CGTRIEUTHUY,Quầy thuốc Triều Thúy,"190 đường Độc Lập, TT Cẩm Giàng, huyện Cẩm Giàng, tỉnh Hải Dương","Giàng, huyện Cẩm Giàng",,04KVCAMGIANG,An Thị Thúy,0983741139
CGTAMDUC,Quầy thuốc Tâm Đức,"Ngã ba Cổng Mao, xã Mậu Tài, huyện Cẩm Giàng, tỉnh Hải Dương","Tài, huyện Cẩm Giàng",,04KVCAMGIANG,Vũ Thị Ngát,0388289052
TKLINHTRANG,Quầy thuốc Linh Trang,"Hà Xá, Cẩm Đoài, Cẩm Giàng, tỉnh Hải Dương","Đoài, Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Hằng,0979 573 088
CGNHATNHAT,Quầy thuốc Nhất Nhất,"khu 15 TT Lai Cách, huyện Cẩm Giàng, tỉnh Hải Dương","Cách, huyện Cẩm Giàng",,04KVCAMGIANG,Hà Thị Chiến,0984 720  124
CGNHANDONG,Quầy thuốc Nhàn Đồng,"Thôn 3 Cẩm Sơn, Định Sơn, Cẩm Giàng, Hải Dương","Sơn, Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Nhàn,0978 391 205
CGTHIENAN,Quầy thuốc Thiên An,"Thôn Kim Xá, xã Cẩm Đoài, huyện Cẩm Giàng, tỉnh Hải Dương","Đoài, huyện Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Giang,0378587070
CGTRANHOAN,Quầy thuốc Trần Hoan,"Cao Xạ, xã Cao An, huyện Cẩm Giàng, tỉnh Hải Dương",Cẩm Giàng,,04KVCAMGIANG,Trần Thị Lương,0972 966 521
CGTTHOANGTHU,Quầy thuốc Hoàng Thu,"Khu 3 TT Cẩm Giàng, Cẩm Giàng, Hải Dương","Giàng, Cẩm Giàng",0923376999,04KVCAMGIANG,Hoàng Thị Thu,0919261669
CGANHKHOA,Quầy thuốc Anh Khoa,"thôn Vĩnh Lại, xã Cẩm Đông, huyện Cẩm Giàng, tỉnh Hải Dương","Đông, huyện Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Huyền,0974 523 226
CGPHAMLIEN,Quầy thuốc tân dược Phạm Minh Liên,"Thôn Bình Long, xã Lương Điền, huyện Cẩm Giàng, tỉnh Hải Dương","Điền, huyện Cẩm Giàng",,04KVCAMGIANG,Phạm Minh Liên,0982 707 216
CGTRANGANH,Quầy thuốc Trang Anh,"Ngã tư Chợ Giám, xã Cẩm Điền, huyện Cẩm Giàng, tỉnh Hải Dương","Điền, huyện Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Hồng Trang,0348 489 782
CGTHUTRANG,Quầy thuốc Thu Trang,"xã Đức Chính, huyện Cẩm Giàng, tỉnh Hải Dương","Chính, huyện Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thùy Trang,0869017098
CGQT22,Quầy thuốc số 22 Anh Khang,"Thôn Yển Vũ ,Xã Đức Chính, huyệnCẩm Giàng,tp. Hải Dương","Chính, huyệnCẩm Giàng",,04KVCAMGIANG,Vũ Thị Vân,0389469255
CGQTPHUCLAM,Quầy thuốc Phúc Lâm,"Thôn Hoàng Gia, ,Xã Cẩm Vũ , huyệnCẩm Giàng,tp. Hải Dương","Vũ , huyệnCẩm Giàng",,04KVCAMGIANG,Trần thị Thiều,0353048596
CGTHUYDUNG,Quầy thuốc Thùy Dung,"Đỗ Thượng, xã Cao An, Cẩm Giàng, Hải Dương","An, Cẩm Giàng",,04KVCAMGIANG,Thùy Dung,0354478609
CGKIMOANH,Quầy thuốc Kim Oanh,"Chợ Cóc, Cẩm Giàng, Hải Dương","Cóc, Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Kim Oanh,0979551842
CGQT15,Quầy thuốc 15,"xã Văn Thai, huyện Cẩm Giàng, tỉnh Hải Dương","Thai, huyện Cẩm Giàng",,04KVCAMGIANG,Phạm Thị Hạnh,0985774522
CGHUYENNGAN,Quầy thuốc Huyền Ngân,"Địch Tràng, xã Đức Chính, huyện Cẩm Giàng, tỉnh Hải Dương","Chính, huyện Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Huyền,0359430951
CGQT21,Quầy thuốc Thương Long(Qt số 21),"Phú Xá, Cẩm Giàng, Hải Dương","Xá, Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Thương,0389956400
CGPHUONGLOAN,Quầy thuốc Phương Loan,"Thôn Tràng Kỹ, xã Tân Trường, huyện Cẩm Giàng, tỉnh Hải Dương","Trường, huyện Cẩm Giàng",,04KVCAMGIANG,Vũ Thị Phương Loan,0868595679
CGBSTRUONG,Nhà thuốc Pk ngoài giờ,"12 Thạch Lam, TT Cẩm Giàng, tỉnh Hải Dương",TT Cẩm Giàng,,04KVCAMGIANG,BS Trương,0983789195
CGQTLONGNINH,Quầy thuốc Long Ninh,"Thôn Ngọ, TT Lai Cách, Cẩm Giàng, Hải Dương","Cách, Cẩm Giàng",,04KVCAMGIANG,Trương Thanh Long,0359462199
CGPHUONGTHAO,Quầy thuốc Phương Thảo,"QL 38 thôn Đức Hỷ, xã Cẩm Hưng, huyện Cẩm Giàng, tỉnh Hải Dương","Hưng, huyện Cẩm Giàng",,04KVCAMGIANG,Phạm Thị Phương Thảo,0964519177
CGHUNGANH,Quầy thuốc Hưng Anh,"78 đường Độc Lập, TT Cẩm Giàng, Cẩm Giàng, tỉnh Hải Dương","Giàng, Cẩm Giàng",,04KVCAMGIANG,Đặng Huy Hải Anh,0332638286
CGTRUNGQUYEN,Quầy thuốc Trung Quyên,"Cẩm Hưng, huyện Cẩm Giàng, tỉnh Hải Dương","Hưng, huyện Cẩm Giàng",,04KVCAMGIANG,Vũ Thị Quyên,0974333029
CGLETUAN,Nhà thuốc Pk Tai Mũi Họng,"TT Cẩm Giàng, huyện Cảm Giàng, tỉnh Hải Dương","Giàng, huyện Cảm Giàng",,04KVCAMGIANG,Lê Văn Tuân,0984938281
CGQTSO23,Quầy thuốc số 23,"Thôn Lai Xá, xã Đức Chính, huyện Cẩm Giàng, tỉnh Hải Dương","Chính, huyện Cẩm Giàng",,04KVCAMGIANG,Vũ Ngọc Chuyên,0984732677
CHBAOAN,Quầy thuốc Bảo An,"Xóm Cầu Ba Văn Thai, xã Cẩm Vân, Cẩm Giàng, tỉnh Hải Dương","Vân, Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Hồng,0966638018
CGQTHOANGMAI,Quầy thuốc Hoàng Mai,"Số 15 khu 3, TT Cẩm Giàng, huyện Cẩm Giàng, tỉnh Hải Dương","Giàng, huyện Cẩm Giàng",,04KVCAMGIANG,Hoàng Thị Mai,0394141660
CGQT09,Quầy thuốc 09,"Chợ Phú Lộc, xã Cẩm Vũ, huyện Cẩm Giàng, tỉnh Hải Dương","Vũ, huyện Cẩm Giàng",,04KVCAMGIANG,Phạm Thị Hoài,0916449798
CGTANGHOAI,Quầy thuốc Tăng Hoài,"Chợ Lê Xá, xã Cẩm Phúc, huyện Cẩm Giàng, tỉnh Hải Dương","Phúc, huyện Cẩm Giàng",,04KVCAMGIANG,Tăng Thị Hoài,0378029110
CGQT24,Quầy thuốc 24h,"Chân cầu vượt Lê Xá, xã Cẩm Phúc, huyện Cẩm Giàng, tỉnh Hải Dương","Phúc, huyện Cẩm Giàng",,04KVCAMGIANG,Lê Thị Ngọc,0353843396
CGHAANH,Quầy thuốc tân dược Hà Anh,"Lôi Xá, Đức Chính, Cẩm Giàng, Hải Dương","Chính, Cẩm Giàng",,04KVCAMGIANG,Nguyễn Hà Anh,0362.860.961
CGLANANH,Quầy thuốc Lan Anh,"Phú Xá, Cao An, Cẩm Giàng, tỉnh Hải Dương","An, Cẩm Giàng",,04KVCAMGIANG,Trịnh Thị Tươi,0962181874
NGQTSO54,Quầy thuốc số 54,"Thôn Đông Giao, xã Lương Điền, Cẩm Giàng, Hải Dương","Điền, Cẩm Giàng",,04KVCAMGIANG,Ngô Dịu,0374637548
CGNHATTHUY,Nhà thuốc Nhật Thúy,"Số 33 khu 2, phường Nhị Châu, tp Hải Dương, tỉnh Hải Dương","Châu, tp Hải Dương",,04KVCAMGIANG,Vương Thị Thu Thúy,0938199886
CGTRANGPHAMAR,Quầy thuốc Trang Pharmacy,"Chợ Vọng, xã Ngọc Liên, huyện Cẩm Giàng, tỉnh Hải Dương","Liên, huyện Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Trang,0356869400
CGQTHOANGANH,Quầy thuốc Hoàng ánh,"Đội 7, Phú Lộc, Cẩm Vũ, huyện Cẩm Giàng, tỉnh Hải Dương","Vũ, huyện Cẩm Giàng",,04KVCAMGIANG,Hoàng Thị ánh,0357116448
CGPKVIETHANG,Phòng khám nha khoa Việt Hằng,"Đức Chính, huyện Cẩm Giàng, tỉnh Hải Dương","Chính, huyện Cẩm Giàng",,04KVCAMGIANG,Trần Hằng,0976013283
CGQT379,Quầy thuốc số 379,"Thôn Phú An, xã Cao An, Cẩm Giàng, Hải Dương","An, Cẩm Giàng",,04KVCAMGIANG,Hoàng Thị Hoa Mai,0984018966
CGQTLONGHUONG,Quầy thuốc Long Hương,"Địa B, TT Cẩm Giàng, Cẩm Giàng, Hải Dương","Giàng, Cẩm Giàng",,04KVCAMGIANG,Nguyễn Thị Hương,0961761856
CGHIEPHUONG,Quầy thuốc Hiệp Hương,"KĐT Vsip Lương Điền, Cẩm Điền, Cẩm Giàng, Hải Dương","Điền, Cẩm Giàng",,04KVCAMGIANG,Nguyễn Đăng Hiệp,0967283689
CGVUPHUONG,Quầy thuốc HoaPhaco - Vũ Thị Phượng,"Thôn Thượng, xã Cẩm Đông, huyện Cẩm Giàng, tỉnh Hải Dương","Đông, huyện Cẩm Giàng",,04KVCAMGIANG,Vũ Thị Phượng,0974302996
CGNHUANH,Phòng khám nhi Bs Nguyễn Như Anh,"Thôn 1, Cẩm Sơn, Cẩm Giàng, Hải Dương","Sơn, Cẩm Giàng",,04KVCAMGIANG,Nguyễn Như Anh,0334329988
CBTHIENGIANG,Nhà thuốc Thiên Giang,"Tổ 15 phường Tân Giang, TP Cao Bằng, tỉnh Cao Bằng",TP Cao Bằng,,04KVCAOBANG,Hoàng Diệp Nhi,0965938818
CBNGANANH,Nhà thuốc Ngân Anh,"TDP 7 phường Sông Hiến, TP Cao Bằng, tỉnh Cao Bằng",TP Cao Bằng,,04KVCAOBANG,Nông Thị Thu Hằng,0384239094
CBKHANHAN,Nhà thuốc Khánh An,"SN 085 tổ 17 phường Tân Giang, TP Cao Bằng, tỉnh Cao Bằng",TP Cao Bằng,,04KVCAOBANG,Lương Thị Thêu,0973874262
CBTHUYDUONG,Nhà thuốc Thùy Dương,"Tổ 7 phường Ngọc Xuân, TP Cao Bằng, tỉnh Cao Bằng",TP Cao Bằng,,04KVCAOBANG,Nguyễn Thị Thùy Dương,0948098616
CBHUONGGIANG,Nhà thuốc Hương Giang,"SN 036 tổ 12 phường Sông Hiến, tp Cao Bằng, tỉnh Cao Bằng","Hiến, tp Cao Bằng",,04KVCAOBANG,Đỗ Thu Hòa,0914836955
CBQT12,Quầy thuốc số 12,"Chợ Nước Hai, TT Nước Hai, huyện Hòa An, tỉnh Cao Bằng","Hai, huyện Hòa An",,04KVCAOBANG,Hoàng Thị Thu Huyền,0948174236
CBBINHAN,Nhà thuốc Bình An,"Xóm Đà Lạn, xã Bế Triều, huyện Hòa An, tỉnh Cao Bằng","Triều, huyện Hòa An",,04KVCAOBANG,Võ Thị Bình,0915067629
TKHOANGANH,Nhà thuốc Ngọc ánh,"Tổ 2, Tt Trùng Khánh, huyệnTrùng Khánh, tỉnh Cao Bằng","Khánh, huyệnTrùng Khánh",,04KVCAOBANG,Hoàng Ngọc ánh,0356216198
CBCUCHOA,Nhà thuốc Cúc Hòa,"Kiot 8 chợ Sông Bằng,  phường Hợp Giang, TP Cao Bằng, tỉnh Cao Bằng",TP Cao Bằng,,04KVCAOBANG,Tống Kim Cúc,0917805839
CBVIETKHANH,Nhà thuốc Việt Khánh,"SN 43 phố Xuân Trường, phường Hợp Giang, tp Cao Bằng, tỉnh Cao Bằng","Giang, tp Cao Bằng",,04KVCAOBANG,Đào Văn Hoàn,0983230610
CBANHBAC,Quầy thuốc Anh Bắc,"Chợ Cao Bình, xã Hưng Đạo, tp Cao Bằng, tỉnh Cao Bằng","Đạo, tp Cao Bằng",,04KVCAOBANG,Dương Văn Bắc,0397215609
CBPHAMTUAN,Nhà thuốc Phạm Tuấn,"Tổ 6 phường Đề Thám, TP Cao Bằng, tỉnh Cao Bằng",TP Cao Bằng,,04KVCAOBANG,DS Dung,0986532702
HABAOLAN,Quầy thuốc Bảo Lan số 15,"Chợ Nà Rị, xã Nam Tuấn, huyện Hòa An, tỉnh Cao Bằng","Tuấn, huyện Hòa An",,04KVCAOBANG,Hứa Thị Ngọc,0399360670
CBVOTHUY,Quầy thuốc Thủy Lực,"Tổ 2 phường Đề Thám, tp Cao Bằng, tỉnh Cao Bằng","Thám, tp Cao Bằng",,04KVCAOBANG,Võ Bích Thủy,0846118666
QHQTSO1,Quầy thuốc số 1,"Phố Mới, TT Quảng Uyên, huyện Quảng Hòa, tỉnh Cao Bằng","Uyên, huyện Quảng Hòa",,04KVCAOBANG,Thạch Thị Bích Thu,0972213005
TLQTSO2,CTD Cao Bằng - Quầy thuốc số 6 (Cũ là QT số 2),"thị trấn Trà Lĩnh, huyện Trùng Khánh, tỉnh Cao Bằng","Lĩnh, huyện Trùng Khánh",,04KVCAOBANG,Nông Thị Trang,0989971878
CBHACHI,Nhà thuốc Hà Chi,"Tổ 13 phường Ngọc Xuân, tp Cao Bằng, tỉnh Cao Bằng","Xuân, tp Cao Bằng",,04KVCAOBANG,,0944282888
HANONGLAN,CTD Trần Nga - Quầy thuốc số 9,"thị trấn Nước Hai, huyện Hoà An, tỉnh Cao Bằng","Hai, huyện Hoà An",,04KVCAOBANG,Nông Thị Mai Lan,0912906696
CBNGUYENHUY,Quầy thuốc Nguyễn Quang Huy,"Tổ 4 phường Đề Thám, tp Cao Bằng, tỉnh Cao Bằng","Thám, tp Cao Bằng",,04KVCAOBANG,Nguyễn Quang Huy,0868863889
HAHOANGLONG,Nhà thuốc Hoàng Long,"Tổ 1 phố B TT Nước Hai, huyện Hòa An, tỉnh Cao Bằng","Hai, huyện Hòa An",,04KVCAOBANG,Hoàng Thị Lan,0987638754
TNQTSO5,Quầy thuốc số 5,"Chợ Thông Nông, TT Thông Nông, huyện Thông Nông, tỉnh Cao Bằng","Nông, huyện Thông Nông",,04KVCAOBANG,Nông Thị Xuân,0823945487
CBTHUYSON,Quầy thuốc Thủy Sơn,"Phố Cao Bình, xã Hưng Đạo, tp Cao Bằng, tỉnh Cao Bằng","Đạo, tp Cao Bằng",,04KVCAOBANG,Lò Thái Sơn,0977068275
CBQT04,Nhà thuốc 04,"Chợ Thông Nông, TT Thông Nông, huyện Thông Nông, tỉnh Cao Bằng","Nông, huyện Thông Nông",,04KVCAOBANG,Hoàng Thanh Vân,0984273001
HQUONGLAN,Nhà thuốc Dương Lan,"Xóm Đôn Chương, thị trấn Xuân Hòa, huyện Hà Quảng, tỉnh Cao Bằng","Hòa, huyện Hà Quảng",,04KVCAOBANG,Nông Thị Lan,0962090166
TKQTSO8,Quầy thuốc số 8,"Thôn Pò Tấu, xã Chí Viễn, huyện Trùng Khánh, tỉnh Cao Bằng","Viễn, huyện Trùng Khánh",,04KVCAOBANG,Bùi Thị Hồng Nhung,0916818166
HAMINHKHOI,Nhà thuốc Minh Khôi,"Phia Gào, Đức Long, thị trấn Nước Hai, huyện Hoà An, tỉnh Cao Bằng","Hai, huyện Hoà An",,04KVCAOBANG,Lương Thị Thu Thảo,0962688777
TKHANKET,Nhà thuốc Hàm Kết,"Tt Trà Lĩnh, huyện Trùng Khánh, tỉnh Cao Bằng","Lĩnh, huyện Trùng Khánh",,04KVCAOBANG,Lục Thị Kết,0837185039
HLQTSO3,Quầy thuốc số 3,"Thị trấn Thanh Nhật, huyện Hạ Lang, tỉnh Cao Bằng","Nhật, huyện Hạ Lang",,04KVCAOBANG,Hoàng Thị Tiến,0915155943
QUQTSO2,Hiệu thuốc Quảng Uyên - Quầy thuốc Số 2,"Chợ Quảng Uyên, TT Quảng Uyên, Huyện Quảng Hà, Tỉnh Cao Bằng",Quảng Hà,,04KVCAOBANG,Lại Hồng Dương,0934215268
HAQTSO17,Quầy  thuốc số 17 - Công ty Dược Bảo Lan,"Chợ án Lại, Huyện Hòa An, Tỉnh Cao Bằng",Hòa An,,04KVCAOBANG,Trương Văn Kỳ,0393012998
PHQTSO8,Quầy thuốc tân dược số 8 - Công cty dược Bảo Lan 88,"Tt Tà Lùng, huyện Phục Hòa, tỉnh Cao Bằng","Lùng, huyện Phục Hòa",,04KVCAOBANG,Lương Thị Duyên,0974607664
CBKIEUDON,Nhà thuốc Kiều Đôn,"Số nhà 53 tổ 4 phường Đề Thám, TP Cao Bằng, tỉnh Cao Bằng",TP Cao Bằng,,04KVCAOBANG,Nguyễn  Vân,0946828991
HAKHANHCHI,Nhà thuốc Khánh Chi,"Khu Hoằng Bó, TT Nước Hai, tp Cao Bằng, tỉnh Cao Bằng","Hai, tp Cao Bằng",,04KVCAOBANG,Hoàng Văn Thu,0382823394
CBDODUNG,Nhà thuốc Đỗ Dũng,"Tổ 4 phường Đề Thám, tp Cao Bằng, tỉnh Cao Bằng","Thám, tp Cao Bằng",,04KVCAOBANG,Đỗ Bế Dũng,0987202810
HAQTSO10,Quầy thuốc số 10 - CTD Cao Bằng,"thị trấn Nước Hai, huyện Hòa An, tỉnh Cao Bằng","Hai, huyện Hòa An",,04KVCAOBANG,Linh Ngọc Thìn,0986950097
TKQTSO6,CTD Trần Nga - Quầy thuốc số 6,"Phố Thông Huề, xã Đoài Đương, huyện Trùng Khánh, tỉnh Cao Bằng","Đương, huyện Trùng Khánh",,04KVCAOBANG,Bế Thị Oanh,0829428286
CBCAOBINH,Nhà thuốc Cao Bình,"Chợ Cao Bình, xã Hưng Đạo, thành phố Cao Bằng, tỉnh Cao Bằng","Đạo, thành phố Cao Bằng",,04KVCAOBANG,Nguyễn Thị Thu Hương,0913534388
CBVANCHI,Nhà thuốc Vân Chi,"Tổ 3 TT Nguyên Bình, huyện Nguyên Bình, tỉnh Cao Bằng","Bình, huyện Nguyên Bình",,04KVCAOBANG,Lương Minh Huệ,0973243689
CBQTSO8,Quầy thuốc số 8 - CTD Cao Bằng,"Kios số 8, chợ Sông Bằng, phường Hợp Giang, tp Cao Bằng, tỉnh Cao Bằng","Giang, tp Cao Bằng",,04KVCAOBANG,Tống Kim Cúc,0917805839
TK.TAMAN,Nhà thuốc Tâm An,"Tổ 6 TT Trùng Khánh, huyện Trùng Khánh, tỉnh Cao Bằng","Khánh, huyện Trùng Khánh",,04KVCAOBANG,Lục Thị Luyện,0975748524
TKMINHTIEN,Nhà thuốc Minh Tiến,"Sn 777 tổ 6 TT Trùng Khánh, huyện Trùng Khánh, tỉnh Cao Bằng","Khánh, huyện Trùng Khánh",,04KVCAOBANG,Đinh Thị Phương,0336101186
HAQTSO3,Hiệu thuốc Hòa An số 3,"Khu Hoằng Bó, TT Nước Hai, huyện Hòa An, tỉnh Cao Bằng","Hai, huyện Hòa An",,04KVCAOBANG,Bế Thị Quyên,0379424656
QULINHCHI,Nhà thuốc Linh Chi,"SN 74 phố Hòa Bình, TT Quảng Uyên, huyện Quảng Uyên, tỉnh Cao Bằng","Uyên, huyện Quảng Uyên",,04KVCAOBANG,Tô Thị Chi,0979102622
TKHUONGDUC,Nhà thuốc Hương Đức,"Tổ 5 TT Trùng Khánh, huyện Trùng Khánh, tỉnh Cao Bằng","Khánh, huyện Trùng Khánh",,04KVCAOBANG,Thẩm Văn Đức,0845081188
HLQT13,Quầy thuốc số 13 - CTD Bảo Lan 88,"Phố Thông Huề 2, xã Thông Huề, huyện Trùng Khánh, tỉnh Cao Bằng","Huề, huyện Trùng Khánh",,04KVCAOBANG,Lý Thị Chuyên,0382854580
QHQT32,Quầy thuốc Thanh Thảo - CTD Trần Nga,"Thị trấn Tà Lùng, huyện Quảng Hòa, tỉnh Cao Bằng","Lùng, huyện Quảng Hòa",,04KVCAOBANG,Trịnh Thị Thảo,0398890925
PHQT22,Quầy thuốc số 22 - CTD Trần Nga,"Thị trấn Hòa Thuận, huyện Phục Hòa, tỉnh Cao Bằng","Thuận, huyện Phục Hòa",,04KVCAOBANG,Phan Thị Dy,0815814116
CBCTDUOC,Công ty Cổ phần dược và vật tư y tế Cao Bằng,"Số 12 phố Nguyễn Du, phường Hợp  Giang, TP Cao Bằng, tỉnh Cao Bằng",TP Cao Bằng,1800142314,04KVCAOBANG,Nông Hồng Trường,02063 855 339
CBHANHHAC,Nhà thuốc Hanh Hạc,"Tổ 22 (đường 3/10), Phường Sông Bằng, TP Cao Bằng, tỉnh Cao Bằng",TP Cao Bằng,,04KVCAOBANG,Hứa Thị Hanh,0919973829
CBVIETHUNG,Nhà thuốc Việt Hưng,"Tổ 3 phường Duyệt Chung, tp Cao Bằng, tỉnh Cao Bằng","Chung, tp Cao Bằng",,04KVCAOBANG,Nông Thế Việt,0919361992
